m,20,10
p,10,5,20,255,238,182
s,3,3
c,9,1,computer2.txt,255,0,0
c,12,1,david.txt,0,225,0
d,9,5
d,15,7
75,72,72,72,72,72,72,74,75,72,72,72,72,72,72,72,72,72,72,74,
59,5,5,5,5,5,5,71,73,4,4,4,4,4,4,4,4,4,4,57,
59,15,2,2,2,2,16,4,4,15,2,2,2,2,2,2,2,2,16,57,
59,1,85,86,87,1,1,15,16,1,1,1,1,1,1,1,1,1,1,57,
59,1,99,100,101,1,1,1,1,1,1,43,44,44,45,1,43,45,1,57,
59,1,1,1,1,1,1,1,1,1,1,71,72,72,73,1,71,73,1,57,
61,44,44,45,1,1,1,1,1,1,1,4,4,4,4,1,4,4,1,57,
112,112,112,59,29,30,29,30,29,1,1,15,2,2,16,1,15,16,1,57,
112,112,112,59,30,29,30,29,30,1,1,1,1,1,1,1,1,1,1,57,
112,112,112,61,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,60
