m,25,25
p,13,21,20,255,238,182
p,6,8,20,255,238,182
p,3,21,10,255,100,100
p,20,6,20,60,60,110
s,13,24
d,10,17
d,5,17
d,16,17
c,13,16,david.txt,0,225,0
fur,0,8,8,FRONT
fur,1,5,7,FRONT
112,112,112,112,112,112,112,112,112,112,112,112,112,59,63,64,65,62,63,63,63,63,63,63,63,
112,112,112,112,112,112,112,112,112,112,112,112,112,59,63,64,65,62,63,63,63,63,63,63,63,
75,72,72,72,72,72,72,74,75,72,72,72,74,59,63,64,65,62,63,63,63,63,63,63,63,
59,7,7,7,7,7,7,71,73,7,7,7,57,59,63,64,65,62,63,63,63,63,63,63,63,
59,21,21,21,21,21,21,7,7,21,21,21,57,59,63,64,65,62,63,63,63,63,63,63,63,
59,15,2,2,2,2,2,21,21,2,2,16,71,73,63,64,65,62,63,63,63,63,63,63,63,
59,31,31,31,31,31,31,15,16,31,31,31,4,4,63,64,65,62,63,63,63,63,63,63,63,
59,31,31,31,31,31,31,31,31,31,31,31,18,18,63,64,65,62,63,63,63,63,63,63,63,
59,31,31,31,31,31,31,31,31,31,31,31,15,16,77,78,65,76,77,77,77,77,77,77,77,
59,31,31,31,31,31,31,31,31,31,31,31,65,65,65,65,65,65,65,65,65,65,65,65,65,
59,31,31,31,31,31,31,31,31,31,31,31,43,45,49,50,65,48,49,49,49,49,49,49,49,
59,31,31,31,31,31,31,31,31,31,31,31,57,59,63,64,65,62,63,63,63,63,63,63,63,
59,31,31,31,31,31,31,31,31,31,31,31,57,59,63,64,65,62,63,63,63,63,63,63,63,
61,44,44,44,45,31,43,44,44,45,31,43,60,61,44,45,65,43,44,44,44,44,44,44,44,
75,72,72,72,73,31,71,74,75,73,31,71,72,72,72,73,65,71,74,112,112,112,112,112,112,
59,5,5,5,5,1,5,57,59,20,1,20,20,20,20,20,65,6,57,75,72,72,72,72,74,
59,19,19,19,19,1,19,57,59,20,1,20,20,20,20,20,65,20,57,59,4,4,4,4,57,
59,15,2,2,16,1,17,57,59,17,1,15,2,2,2,16,65,17,71,73,18,18,18,18,57,
59,1,1,1,1,1,1,57,59,1,1,1,1,1,1,1,1,1,18,18,17,17,17,17,57,
59,1,1,1,1,1,1,57,59,1,1,1,1,1,1,1,1,1,18,18,29,30,29,30,57,
59,1,1,1,1,1,1,57,59,1,1,1,85,86,87,1,1,1,15,16,30,29,30,29,57,
59,1,1,1,1,1,1,57,59,1,1,1,99,100,101,1,1,1,1,1,29,30,29,30,57,
59,1,1,1,1,1,1,57,59,1,1,1,1,1,1,1,1,1,43,45,30,29,30,29,57,
59,1,1,1,1,1,1,57,59,1,1,1,1,1,1,1,1,1,57,59,29,30,29,30,57,
61,44,44,44,44,44,44,60,61,44,44,44,45,1,43,44,44,44,60,61,44,44,44,44,60
